Resource and Energy Economics,2021-05-31,An ecological golden rule ,"Stochastic growth,Natural resource,Golden rule,Q20,Q22","
                  Most renewable biotic resources are subject to random variability in natural growth. We investigate the implications of such variability for long-term management by a risk averse social planner, who maximizes expected long-run utility. In the canonical model of a stochastic fishery, we show that the optimal level of harvesting effort need not necessarily be reduced by variability in stock growth. However, optimal effort is reduced if variability of growth increases for smaller base populations, as suggested in the ecology literature.
               ",S092876552100004X
Resource and Energy Economics,2021-05-31,Rural light pollution from shale gas development and associated sleep and subjective well-being ,"Natural resources,Shale development,Light pollution","
                  The shale oil and gas boom has had large economic, environmental, and social impacts on rural communities in the United States. This study provides novel estimates of the impacts of shale oil and gas development on light pollution in rural areas of the United States. Using nationwide, time-calibrated DMSP-OLS database from 2000 to 2012, we find robust evidence that the shale oil and gas boom significantly increased light pollution in rural areas. We then assess associations between horizontal drilling and subjective self-rated health using nationwide data from the Behavioral Risk Factor Surveillance System (BRFSS) from 2000 to 2012. Our findings suggest that insufficient sleep and poor health (physical or mental) are associated with increased drilling in rural areas. These results provide support for drilling-related light pollution as an additional environmental pathway of concern for public health beyond the mechanisms of air or water pollution.
               ",S0928765521000051
Resource and Energy Economics,2021-05-31,Environmental regulation and safety outcomes: Evidence from energy pipelines in Canada ,"Environmental regulation,Pipeline safety","
                  This paper investigates the effects of more stringent environmental regulation—specifically, paying amortized abandonment fees as accrued and absolute liability for adverse events—on the safety performance of Canadian oil and gas pipelines. We construct a comprehensive dataset that includes pipeline adverse events, throughput, and regulatory intensiveness for fourteen federally-regulated energy pipelines in Canada. We find that abandonment fees are significantly and positively associated with pipeline events. On average, a 1% increase in abandonment fees is associated with 1.3 more events per month. In contrast, establishing absolute liability is associated with significant decreases in the number of pipeline events: on average, absolute liability is responsible for eliminating 80% of quarterly events for Canadian major oil pipelines and 20% for smaller pipelines.
               ",S0928765520304243
Resource and Energy Economics,2021-05-31,The impact of smart meters on residential water consumption: Evidence from a natural experiment in the Canary Islands ,"Water conservation,Behavioral change,smart meter,natural experiment","
                  Smart meters can promote behavioral changes and water conservation by improving information and providing feedback about water consumption to households. In this paper, we evaluate a large-scale programme implemented by the municipal water company of La Laguna (Tenerife). Exploiting quasi-experimental variation brought about program, we estimate the effect of water meter replacement on measured water consumption and the behavioral effect of the installation of the smart metering technology allowing households to access daily water consumption and real-time feedback through an online portal. Our main empirical analysis employs a difference in differences identification strategy and uses annual consumption data from 51,674 households observed over 10 years. We find a positive effect of water meter replacement on measured water consumption. Our main finding is that providing access to the smart metering technology induces households to reduce consumption by around 2% on average. Our results point to consumers’ engagement with the information portal as the main mechanism behind the observed behavioral response.
               ",S0928765521000063
Resource and Energy Economics,2021-05-31,Strategic pollution control under free trade ,"International oligopolies,Environmental taxes,Global pollution,Endogenous heterogeneity,Differential games","
                  This paper designs a reciprocal dumping model to address the control of industrial pollution between two trading partners. Firms generate transboundary pollution from production and environmental taxes represent the pollution control instrument. We ask whether environmental taxes implemented in a non-cooperative setting are more stringent than the globally efficient level. Relative to the globally efficient case, we find in the linear Markov Perfect Nash Equilibrium (MPNE) context that the tax rate for both countries is smaller and individual emissions are larger. However, these results may not hold in the non-linear MPNE case depending on market structure and environmental conditions. Unlike the symmetric equilibrium case, the tax rates are always discontinuous under asymmetric MPNEs. The asymmetric equilibrium scenario can give rise to higher individual payoffs relative to the symmetric equilibrium case.
               ",S0928765521000038
Resource and Energy Economics,2021-02-28,Exploring the shelf-life of travel cost methods of valuing recreation for benefits transfer ,"travel cost method (TCM),recreational fishing value,temporal welfare transfer","
                  This study tests the stability of willingness to pay (WTP) for recreational fishing over two decades based on three rounds of a representative angler survey conducted in New York State in 1988, 1996, and 2007. We employ the travel cost method (TCM) by using the repeated conditional logit and mixed logit models to estimate demand for daily fishing trips. Our estimates suggest that anglers’ WTP for fishing in 1988 and 1996 were similar, with values per trip at $35.2 and $36.4, respectively. However, there was a noticeable decrease in WTP, to $30.6, in 2007. This decrease is consistent with two salient features of the 2007 survey: (1) long-distance trips, such as those to the Great Lakes were less frequent, and (2) anglers were, on average, older than in previous surveys.
               ",S0928765518303130
Resource and Energy Economics,2021-02-28,"Human-induced earthquakes, risk salience, and housing values ","Induced earthquakes,Natural gas development,Wastewater disposal,Risk salience","
                  Oklahoma’s households have recently faced several thousand higher-probability but low-impact earthquakes induced by nearby shale gas development. This type of seismic activity is different from natural-occurring earthquakes, which are generally constituted by one, high-loss event. We investigate the mechanisms through which earthquakes may influence household perceptions of risk by modeling changes to property values in and out of seismically-active zones. We estimate that the induced earthquakes are spatially concentrated, which is partially influenced by governmental limits placed on natural gas production and wastewater injections. Additionally, we explore the underlying measure of earthquake intensity and identify its importance in modeling seismic impacts. Controlling for the stock-flow dynamics of seismicity through time, we estimate that Oklahoma County’s cumulative experience of earthquakes led to a diminution of property values. The impacts are further exacerbated by risk-saliency effects, as reflected in declining values associated with nearby wastewater injections and natural gas production.
               ",S0928765520304218
Resource and Energy Economics,2021-02-28,Hedging and temporal permit issuances in cap-and-trade programs: The Market Stability Reserve under risk aversion ,"Cap-and-trade,Risk aversion,hedging,EU ETS,Market Stability Reserve","
                  Cap-and-trade programs such as the European Union's Emissions Trading System (EU ETS) expose firms to considerable risks, to which the firms can respond with hedging. We develop an intertemporal stochastic equilibrium model to analyze the implications of hedging by risk-averse firms. We show that the resulting time-varying risk premium depends on the size of the permit bank. Applying the model to the EU ETS, we find that hedging can lead to a U-shaped price path, because prices initially fall due to negative risk premiums and then rise as the hedging demand declines. The Market Stability Reserve (MSR) reduces the permit bank and thus, increases the hedging value of the permits. This offers an explanation for the recent price hike, but also implies that prices may decline in the future due to more negative risk premiums. In addition, we find higher permit cancellations through the MSR than previous analyses, which do not account for hedging.
               ",S0928765520304231
Resource and Energy Economics,2021-02-28,The impact of the corporate average fuel economy standards on technological changes in automobile fuel efficiency ,"CAFE standards,Technological change,Fuel economy,Gasoline prices","
                  This paper empirically examines the effect of the U.S. Corporate Average Fuel Economy (CAFE) standards on the technological progress in automobile fuel efficiency. Using detailed vehicle attributes data from 1978 through 2018, we find that more stringent fuel economy standards increase the rate of technological improvements in new passenger cars, and this effect is primarily driven by the response of U.S. automakers. We do not find evidence that CAFE standards have a similar effect on the technical change in light-duty trucks. Our results also indicate that higher gasoline prices have a significant and positive effect on the improvement of fuel-saving technology in both passenger cars and light trucks. Using our empirical estimates, we project that the recent rollback of Obama-era CAFE standards would forego an approximately 2-percent increase in cars’ fuel economy over the 2021–2025 period as a result of technological progress.
               ",S0928765520304206
Resource and Energy Economics,2021-02-28,Multiple equilibria in the context of inspection probabilities depending on firms’ relative emissions ,"Environmental regulation,Emissions,Compliance,Asymmetric information","
                  This paper presents a model of environmental regulations with firms that are heterogeneous with respect to the cost for reducing emissions to the legally permitted level. Given that the enforcement capacity is limited due to budgetary constraints and that each firm's inspection probability depends on its emissions relative to other firms’ emissions, the likelihood of being punished for violations is endogenously determined and multiple equilibria may therefore arise. Hence, both good outcomes with high compliance rates and bad outcomes with many violations are possible. Multiple equilibria are most likely to emerge at intermediate levels of deterrence and at low permitted emission levels. However, it is generally not straightforward how stricter legislation impacts on equilibrium outcomes, indicating that behavioral expectations among regulated firms are an important factor to consider when adapting enforcement to changes in the law.
               ",S0928765520304139
